date,equity
2020-09-07,214772.77791035525
2020-09-08,214085.9526540076
2020-09-09,214841.12501604634
2020-09-10,215210.45967180806
2020-09-11,214937.866288019
2020-09-14,218419.28669817524
2020-09-15,219956.7234361051
2020-09-16,221625.46488592017
2020-09-17,221743.11018093114
2020-09-18,222989.27709293892
2020-09-21,219366.37664316426
2020-09-22,217368.7794503158
2020-09-23,217368.7794503158
2020-09-24,217368.7794503158
2020-09-28,217251.3990513011
2020-09-29,216406.90610877797
2020-09-30,216050.8616980724
2020-10-08,216433.02736754296
2020-10-09,215922.33052916406
2020-10-13,214660.1697376948
2020-10-14,215178.41469466503
2020-10-15,213345.58138167675
2020-10-16,214315.05217635448
2020-10-19,214769.99231925764
2020-10-21,214674.34001755505
2020-10-22,212581.51035876918
2020-10-23,213774.75916997896
2020-10-29,213614.71118871676
2020-11-02,209663.5100453982
2020-11-03,209632.4158145481
2020-11-04,209312.80207688056
2020-11-05,209704.28009669314
2020-11-09,209781.1626650525
2020-11-10,205307.27435974256
2020-11-11,204839.4730319071
2020-11-12,204981.89091307117
2020-11-13,205532.3008862157
2020-11-14,206047.2643261571
2020-11-18,204750.09708982898
2020-11-19,203950.60575682117
2020-11-20,205551.17667967273
2020-11-24,209045.69708793692
2020-11-25,208048.20805476065
2020-11-27,207698.52360056704
2020-12-01,208910.4783124811
2020-12-02,210803.65748631296
2020-12-03,213471.02600015316
2020-12-07,215173.98265894206
2020-12-11,215628.6487729994
2020-12-14,214779.1058124066
2020-12-15,215497.94614443785
2020-12-16,215556.9084392453
2020-12-18,216023.65152717952
2020-12-21,212636.67603696865
2020-12-23,213127.56464195982
2020-12-24,214692.50194014117
2020-12-28,215678.64415205523
2020-12-29,215412.14464033648
2020-12-30,215659.59581221148
2020-12-31,215646.3856681685
2021-01-01,216269.7668712387
2021-01-04,220788.51423614158
2021-01-05,222120.23482217742
2021-01-06,222660.97066202117
2021-01-07,224120.67015542937
2021-01-08,223245.92775430632
2021-01-11,222706.78890113631
2021-01-12,223797.51155473004
2021-01-13,223727.22467312345
2021-01-18,220935.15722734106
2021-01-19,220161.0974981605
2021-01-20,220492.9112447808
2021-01-21,220449.94413351596
2021-01-22,219203.43149923862
2021-01-25,219783.40757345737
2021-01-27,216727.80909805789
2021-01-28,216204.21349786772
2021-01-29,214757.74375819435
2021-02-01,224104.59593721328
2021-02-02,228484.58377787712
2021-02-03,228897.79027037157
2021-02-04,228516.2064996196
2021-02-05,227405.42662291063
2021-02-08,231879.39681930823
2021-02-09,230080.73820662993
2021-02-10,229924.44361639285
2021-02-11,230244.24340771153
2021-02-12,230842.77271695004
2021-02-16,231288.18059792116
2021-02-17,234398.1958357294
2021-02-18,236530.0299424299
2021-02-19,236170.86227409175
2021-02-22,233533.8824855403
2021-02-23,234025.61144317832
2021-02-24,240685.3213175905
2021-02-25,245525.9979672297
2021-02-26,245144.79836192078
2021-03-02,243110.8728066307
2021-03-03,243550.3870583397
2021-03-04,242714.90282154034
2021-03-05,243054.69658374737
2021-03-08,245705.4114557064
2021-03-09,245584.0485457444
2021-03-10,246306.85262289282
2021-03-12,245194.18956884168
2021-03-15,243599.8974542226
2021-03-16,242468.46875703157
2021-03-17,240379.36826600393
2021-03-18,238960.69395722708
2021-03-19,238979.6742657598
