ticker,entry_date,entry_price,exit_date,exit_price,days_held,shares,entry_reason,exit_reason,gross_pnl_inr,fees_total_inr,net_pnl_inr,return_pct,rsi_entry,adx_entry,ema_fast_entry,ema_slow_entry,ema_htf_entry,trend_strength_entry,close_entry,high_52w_entry,volar_entry,mvo_weight_entry,alloc_inr_entry
CRISIL.NS,2020-01-15,1658.502685546875,2020-01-29,1570.877950557883,14,5,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=90.8% (>= 70%); VOLAR rank 3/3 (VOLAR=-0.80); MVO weight=17.0% of capped cash (25% of available),stop,-438.12367494496016,60.6481170080727,-498.77179195303285,-5.283364070049645,41.868350199729825,54.2260479113363,1677.8708228321664,1553.5531030825744,1387.7892482896611,0.07522790365734626,1652.5479736328125,1820.9266357421875,-0.8005240595837961,0.16976520212065646,8488.260106032823
ZFCVINDIA.NS,2020-06-23,6825.06005859375,2020-07-09,6864.748937112314,16,5,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=99.3% (>= 70%); VOLAR rank 1/1 (VOLAR=0.86); MVO weight=100.0% of capped cash (25% of available),indicator_exit,198.44439259281899,146.92824499894255,51.51614759387644,0.5815169123470243,35.91353058643794,38.937644656952756,6821.673426772166,6615.112130756533,6418.696777831608,0.030229920252257857,6833.00830078125,6881.7373046875,0.8591055409597116,1.0,38005.32296020382
PIIND.NS,2020-06-29,1501.522705078125,2020-07-08,1684.4430805286986,9,19,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=95.1% (>= 70%); VOLAR rank 1/1 (VOLAR=1.19); MVO weight=100.0% of capped cash (25% of available),target,3475.4871335608987,137.87700012335404,3337.6101334375444,12.18232497130678,41.17406397601434,25.01683396648919,1530.4251559232955,1499.455863564909,1382.778985490899,0.020278145249127657,1527.22509765625,1605.8094482421875,1.1883440985695142,1.0,29457.96774038171
MUTHOOTFIN.NS,2020-07-14,998.02880859375,2020-07-17,1127.8633790597883,3,38,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=94.1% (>= 70%); VOLAR rank 1/1 (VOLAR=1.40); MVO weight=100.0% of capped cash (25% of available),target,4933.713677709454,160.29447002033083,4773.419207689123,13.009100473660551,45.58708034550738,40.21984424021236,1013.8881008010386,906.4357363504897,738.4243167155031,0.10488272488773244,1024.5001220703125,1088.3729248046875,1.4002678028849913,1.0,38852.60453046167
GMRAIRPORT.NS,2020-07-15,17.61315155029297,2020-07-23,19.523120117187503,8,1666,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=77.9% (>= 70%); VOLAR rank 1/1 (VOLAR=1.12); MVO weight=100.0% of capped cash (25% of available),target,3182.007632446294,139.3848280541783,3042.6228043921155,10.843990988442753,39.72601945171409,25.30430457398245,18.44345269296088,17.85643277216688,17.294018386180507,0.032742320645132696,17.928476333618164,23.018722534179688,1.1242047201705285,1.0,29354.172727563826
ADANIGREEN.NS,2020-07-16,348.29998779296875,2020-07-22,335.34999999999997,6,63,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=76.5% (>= 70%); VOLAR rank 1/1 (VOLAR=3.83); MVO weight=100.0% of capped cash (25% of available),stop,-815.8492309570333,118.77245863653376,-934.6216895935671,-3.7180557699779015,35.63398495142846,38.073175583556406,370.07028307595607,324.8536746971995,208.72287131101473,0.12753239299266247,354.54998779296875,463.6000061035156,3.8344687036345935,1.0,22003.684441764723
TRENT.NS,2020-07-20,609.412109375,2020-07-23,587.1959247281787,3,44,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=78.2% (>= 70%); VOLAR rank 1/1 (VOLAR=1.13); MVO weight=100.0% of capped cash (25% of available),stop,-977.5121244601355,129.44232750785608,-1106.9544519679916,-3.6455108628553057,39.518157393843545,25.611259270355124,616.7805636526202,572.0929404428415,529.3896105673757,0.07229823836421488,618.1011352539062,790.3887939453125,1.1255621213295075,1.0,27197.332456294534
JSL.NS,2020-07-22,38.34724807739258,2020-07-27,35.91547209369819,5,671,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=84.7% (>= 70%); VOLAR rank 1/1 (VOLAR=1.07); MVO weight=100.0% of capped cash (25% of available),stop,-1631.7216850589332,126.35388740328447,-1758.0755724622177,-6.341461527530123,40.83337369432202,33.13841256882091,38.51379326670564,35.530883921956566,34.17960756200707,0.07890092382028546,37.80575942993164,44.64821243286133,1.0707254905609562,1.0,25744.422605514872
HINDZINC.NS,2020-07-23,125.56644439697266,2020-08-05,132.46230634070866,13,269,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=93.8% (>= 70%); VOLAR rank 1/1 (VOLAR=0.63); MVO weight=100.0% of capped cash (25% of available),target,1854.9868628649863,147.87268048792933,1707.114182377057,5.491803146018093,50.80164017597774,34.18442569192833,115.1452572345979,109.96679709459588,109.32157543924019,0.04336294301172252,119.42132568359375,127.32028198242188,0.6256181292379579,1.0,33849.931846135405
RPOWER.NS,2020-07-27,3.549999952316284,2020-07-28,3.51500004529953,1,8844,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=77.1% (>= 70%); VOLAR rank 1/1 (VOLAR=0.43); MVO weight=100.0% of capped cash (25% of available),stop,-309.5391776561737,140.3295237760283,-449.868701432202,-0.9859128869541989,35.13513757330888,30.369121281067986,3.6784870908832157,3.197546129876712,3.627941744322981,0.12998404184010312,3.700000047683716,4.800000190734863,0.433224708487837,1.0,31396.431855277395
GRSE.NS,2020-07-28,180.0834197998047,2020-08-11,204.62944378801075,14,111,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=88.8% (>= 70%); VOLAR rank 1/2 (VOLAR=1.37); MVO weight=64.1% of capped cash (25% of available),target,2724.6086626908727,118.08619632395829,2606.5224663669146,13.630363092556452,36.193012298376324,28.860090668333925,185.89069278957868,174.0058376417087,152.13572035824376,0.06387217616106801,186.07249450683594,209.5961151123047,1.372282290024383,0.6408058042906953,20046.94614811742
SWANCORP.NS,2020-07-28,131.13905334472656,2020-07-30,130.8348963038038,2,85,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=92.7% (>= 70%); VOLAR rank 2/2 (VOLAR=1.02); MVO weight=35.9% of capped cash (25% of available),stop,-25.853348478435834,74.64874459266494,-100.50209307110077,-0.23193475411419362,39.91332037143861,58.05102054373774,138.8416022498667,128.52412065891812,115.01582808798484,0.07480750368462435,137.92041015625,148.7904815673828,1.0169338568335713,0.35919419570930466,11237.018531801923
GODREJCP.NS,2020-07-29,658.5941162109375,2020-09-03,641.0193074638562,36,50,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=89.1% (>= 70%); VOLAR rank 1/1 (VOLAR=0.73); MVO weight=100.0% of capped cash (25% of available),indicator_exit,-878.7404373540653,143.15079404162068,-1021.891231395686,-2.668534126632305,39.445862926334335,27.909636541600516,661.9581244280545,636.3769684343234,618.998208457731,0.038996869227886026,655.979736328125,736.0299682617188,0.7327076060826153,1.0,33290.97821320448
