ticker,date,pattern,direction,open,high,low,close,rsi14,macd,macd_signal,macd_hist,sto_k,sto_d,adx,di_plus,di_minus,aroon_up,aroon_dn,aroon_osc,bb_upper,bb_mid,bb_lower,bb_width,pct_b,bb_squeeze,atr14,vol,vol20,obv,obv_slope,eom14,sma50,sma200,confirmations_met,num_conf,entry_suggest,stop_suggest,risk_per_share,size_for_1pct,note
JBMA.NS,2020-11-24,CDLENGULFING,bullish,50.9,53.98,50.9,53.18,68.62,1.1821,0.695,0.4871,77.87,74.18,20.34,25.55,8.2,100.0,8.0,92.0,52.3176,48.7345,45.1514,0.147045,1.1203,True,2.1731,461620,259224,42199050,461620,2e-06,47.4784,40.3742,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,54.1419,48.2923,5.8496,170,Buy on breakout > pattern High (+buffer)
NETWORK18.NS,2020-12-01,CDLENGULFING,bullish,34.0,36.4,33.85,35.8,57.2,0.1681,0.0981,0.07,37.83,30.96,23.99,23.02,11.74,76.0,16.0,60.0,36.3529,34.3225,32.2921,0.118312,0.8638,True,1.5874,3250267,1122701,81289289,3250267,0.0,34.177,32.2175,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,36.5092,31.9452,4.564,219,Buy on breakout > pattern High (+buffer)
IDEA.NS,2020-12-31,CDLENGULFING,bullish,10.2,10.9,10.1,10.65,60.7,0.231,0.1902,0.0408,80.6,79.56,25.63,25.54,12.57,100.0,76.0,24.0,10.6593,9.965,9.2707,0.139355,0.9933,True,0.5723,733827571,287067494,6135553977,733827571,0.0,9.437,8.1785,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,10.9327,9.4133,1.5194,658,Buy on breakout > pattern High (+buffer)
CENTURYPLY.NS,2021-01-01,CDLENGULFING,bullish,233.0,250.0,233.0,247.25,69.07,9.4087,9.3308,0.0779,75.78,72.9,27.55,28.89,19.23,100.0,4.0,96.0,244.4163,229.225,214.0337,0.132545,1.0933,True,10.7356,795773,368501,42800848,795773,9e-06,206.493,150.3853,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,250.75,220.1173,30.6327,32,Buy on breakout > pattern High (+buffer)
AXISBANK.NS,2021-01-05,CDLENGULFING,bullish,618.0,667.9,618.0,664.45,70.1,12.0497,9.6066,2.4431,88.94,85.18,24.82,33.73,12.85,100.0,64.0,36.0,650.6749,616.02,581.3651,0.112512,1.1987,True,18.281,37973963,16240168,588278830,37973963,2e-06,592.366,467.0598,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,669.9037,596.0628,73.8409,13,Buy on breakout > pattern High (+buffer)
SUNPHARMA.NS,2021-05-05,CDLENGULFING,bullish,642.25,687.9,642.25,683.4,69.8,13.5097,10.7874,2.7223,78.61,76.89,30.61,26.98,9.21,100.0,0.0,100.0,669.819,639.3125,608.806,0.095435,1.2226,True,19.2522,25296369,9453276,531682467,25296369,4e-06,616.845,558.1617,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,689.9637,619.1473,70.8164,14,Buy on breakout > pattern High (+buffer)
SJVN.NS,2021-06-04,CDLENGULFING,bullish,27.55,28.8,27.35,27.95,64.59,0.4921,0.421,0.0711,61.28,59.27,40.31,31.59,5.77,100.0,8.0,92.0,28.0588,27.0,25.9412,0.078428,0.9486,True,0.7311,10087721,3396937,153992206,10087721,0.0,26.031,24.7178,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,28.8864,26.4727,2.4137,414,Buy on breakout > pattern High (+buffer)
SHRIRAMFIN.NS,2021-06-07,CDLENGULFING,bullish,284.5,302.89,282.35,297.49,61.42,4.2025,3.726,0.4765,52.14,49.39,20.3,32.01,15.55,100.0,12.0,88.0,301.3763,283.132,264.8877,0.128875,0.8935,True,10.6663,23267725,9288871,1012778078,23267725,0.0,278.7986,217.6884,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,303.7987,269.5504,34.2483,29,Buy on breakout > pattern High (+buffer)
IGL.NS,2021-06-09,CDLDOJI,bullish,265.5,272.4,263.95,265.9,59.99,2.3501,1.4859,0.8642,74.95,73.47,24.24,24.91,9.63,100.0,48.0,52.0,268.2957,258.92,249.5443,0.072422,0.8722,True,6.8079,8484184,5425680,710292864,8484184,1e-06,257.311,239.4246,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,273.2172,255.7805,17.4367,57,Buy on breakout > pattern High (+buffer)
SHRIRAMFIN.NS,2021-09-08,CDLENGULFING,bullish,268.78,276.28,267.67,273.01,58.66,0.6064,-1.6977,2.3041,78.85,78.64,21.79,20.7,15.37,88.0,52.0,36.0,275.5675,261.312,247.0565,0.109107,0.9103,True,8.1373,8546425,5585433,952042488,8546425,1e-06,270.3212,261.2009,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,277.1088,257.9052,19.2036,52,Buy on breakout > pattern High (+buffer)
