symbol,bias,skip_reason,final_score,volar,volar_norm,fo_sentiment,fo_score,pcr,delivery_pct_avg,delivery_score,candle,candle_score,last_close,avg_vol_20,price_ok,avg_vol_ok
TITAGARH,Short Bias,,-0.26002000000000003,0.033217848267782756,0.15599999999999992,Bearish,-0.9,0.435,33.478,-0.1014666666666666,Neutral,0.0,884.5499877929688,779105.4,True,True
ERIS,Skip,avgVol20<200000.0 or NaN (avg_vol_20=107576.45),-0.2604000000000001,-0.16713541152611666,-0.912,NA,0.0,,69.422,1.0,Neutral,0.0,1591.699951171875,107576.45,True,False
HAVELLS,Short Bias,,-0.26068749999999996,-0.0138891172595909,-0.22799999999999998,Bearish,-0.88025,0.679,65.968,1.0,Neutral,0.0,1493.9000244140625,820525.8,True,True
JINDALSAW,Watchlist,,-0.2622,-0.17247699042879078,-0.916,NA,0.0,,57.772000000000006,1.0,Neutral,0.0,175.25,2784745.2,True,True
INDUSINDBK,Short Bias,,-0.26352,-0.013367075313568339,-0.21999999999999997,Bearish,-0.8700000000000001,0.72,48.998000000000005,0.9332000000000003,Neutral,0.0,794.7999877929688,4137209.15,True,True
MARICO,Short Bias,,-0.26436250000000006,-0.007950769598928204,-0.17600000000000005,Bearish,-0.8147500000000001,0.941,68.15,1.0,Bearish,-1.0,719.9500122070312,1529173.15,True,True
CASTROLIND,Watchlist,,-0.26580000000000004,-0.17396659985697568,-0.924,NA,0.0,,61.291999999999994,1.0,Neutral,0.0,195.00999450683594,1082151.9,True,True
GODREJCP,Short Bias,,-0.26678749999999996,-0.15184355192777946,-0.884,Neutral,-0.05424999999999999,0.783,62.974000000000004,1.0,Neutral,0.0,1118.5999755859375,1470424.05,True,True
HDFCBANK,Short Bias,,-0.26778750000000007,-0.020391626726859968,-0.264,Bearish,-0.8542500000000001,0.783,57.553999999999995,1.0,Neutral,0.0,987.2999877929688,21314524.4,True,True
TATATECH,Short Bias,,-0.26914,-0.0031559917825438144,-0.14,Bearish,-0.9,0.551,45.886,0.7257333333333336,Neutral,0.0,692.25,669344.7,True,True
ZEEL,Watchlist,,-0.2694,-0.1758204450663598,-0.9319999999999999,NA,0.0,,52.237999999999985,1.0,Neutral,0.0,100.58000183105469,7286877.1,True,True
MPHASIS,Short Bias,,-0.27080000000000004,0.005527918480762225,-0.06399999999999995,Bearish,-0.9,0.481,47.3,0.8199999999999998,Bearish,-1.0,2764.39990234375,390906.15,True,True
MANYAVAR,Skip,avgVol20<200000.0 or NaN (avg_vol_20=142731.8),-0.2712,-0.17669442480957484,-0.9359999999999999,NA,0.0,,52.362,1.0,Neutral,0.0,645.75,142731.8,True,False
ATUL,Skip,avgVol20<200000.0 or NaN (avg_vol_20=41284.8),-0.273,-0.17707875027245917,-0.94,NA,0.0,,63.459999999999994,1.0,Neutral,0.0,5762.5,41284.8,True,False
TARIL,Watchlist,,-0.27659999999999996,-0.18918841122122196,-0.948,NA,0.0,,57.602,1.0,Neutral,0.0,445.3999938964844,456462.25,True,True
FACT,Skip,avgVol20<200000.0 or NaN (avg_vol_20=171217.25),-0.27718,-0.03239900542999477,-0.33999999999999997,NA,0.0,,22.582,-0.8278666666666666,Neutral,0.0,903.3499755859375,171217.25,True,False
BALRAMCHIN,Watchlist,,-0.2802,-0.19173575327934964,-0.956,NA,0.0,,56.30800000000001,1.0,Neutral,0.0,458.95001220703125,332158.65,True,True
LTFOODS,Watchlist,,-0.28164000000000006,-0.12746421641858022,-0.8,NA,0.0,,42.836,0.5224,Neutral,0.0,420.5,743273.75,True,True
AKZOINDIA,Skip,avgVol20<200000.0 or NaN (avg_vol_20=45759.45),-0.28380000000000005,-0.21484701953737956,-0.964,NA,0.0,,71.87,1.0,Neutral,0.0,3241.699951171875,45759.45,True,False
NATCOPHARM,Short Bias,,-0.2888,-0.14085525892197787,-0.864,NA,0.0,,56.09400000000001,1.0,Bearish,-1.0,819.9000244140625,543067.0,True,True
SUMICHEM,Watchlist,,-0.2892,-0.2257448765054238,-0.976,NA,0.0,,64.09,1.0,Neutral,0.0,502.20001220703125,314800.15,True,True
JYOTICNC,Short Bias,,-0.2906,-0.1457890233198904,-0.868,NA,0.0,,55.226,1.0,Bearish,-1.0,864.0,767981.5,True,True
ABBOTINDIA,Skip,avgVol20<200000.0 or NaN (avg_vol_20=5505.55),-0.29100000000000004,-0.23919409809763312,-0.98,NA,0.0,,66.174,1.0,Neutral,0.0,28995.0,5505.55,True,False
INDHOTEL,Short Bias,,-0.292025,-0.013288671206365375,-0.21199999999999997,Bearish,-0.8475,0.81,61.778,1.0,Bearish,-1.0,741.7999877929688,2040942.55,True,True
WIPRO,Short Bias,,-0.2964625000000001,-0.02792094987233697,-0.30400000000000005,Bearish,-0.88475,0.661,56.278,1.0,Neutral,0.0,240.6699981689453,10193260.6,True,True
CIPLA,Short Bias,,-0.30127999999999994,-0.011299537456853635,-0.18799999999999994,Bearish,-0.9,0.451,49.832,0.9888000000000001,Bearish,-1.0,1501.300048828125,1594628.55,True,True
IRCTC,Short Bias,,-0.3047249999999999,-0.030732119605711466,-0.32799999999999996,Bearish,-0.8775000000000001,0.69,55.362,1.0,Neutral,0.0,718.7000122070312,732268.55,True,True
LINDEINDIA,Skip,avgVol20<200000.0 or NaN (avg_vol_20=14640.35),-0.305,-0.16033047445174217,-0.9,NA,0.0,,67.554,1.0,Bearish,-1.0,6013.5,14640.35,True,False
DRREDDY,Short Bias,,-0.30720000000000003,-0.028430468221648363,-0.31599999999999995,Bearish,-0.9,0.444,57.598,1.0,Neutral,0.0,1197.5999755859375,2208251.3,True,True
DMART,Short Bias,,-0.30859999999999993,-0.013282066754599963,-0.20799999999999996,Bearish,-0.9,0.481,54.44799999999999,1.0,Bearish,-1.0,4153.5,391240.6,True,True
SCHNEIDER,Skip,avgVol20<200000.0 or NaN (avg_vol_20=105827.25),-0.30860000000000004,-0.16648483805023373,-0.908,NA,0.0,,53.529999999999994,1.0,Bearish,-1.0,836.5,105827.25,True,False
ALKYLAMINE,Skip,avgVol20<200000.0 or NaN (avg_vol_20=30444.5),-0.3094,-0.24792621427764938,-0.988,NA,0.0,,48.519999999999996,0.9013333333333331,Neutral,0.0,1860.0,30444.5,True,False
CLEAN,Short Bias,,-0.314,-0.1739494968532902,-0.92,NA,0.0,,58.138,1.0,Bearish,-1.0,1008.7999877929688,259376.45,True,True
EXIDEIND,Short Bias,,-0.31544000000000005,-0.027421467803185533,-0.29200000000000004,Bearish,-0.8460000000000001,0.816,46.206,0.7470666666666668,Neutral,0.0,381.8999938964844,2013429.1,True,True
INOXWIND,Short Bias,,-0.31893999999999995,0.011984193733986917,-0.008000000000000007,Bearish,-0.9,0.527,39.966,0.33106666666666684,Bearish,-1.0,155.1300048828125,7020711.6,True,True
SOLARINDS,Skip,avgVol20<200000.0 or NaN (avg_vol_20=82165.3),-0.32558750000000003,-0.03685824844627589,-0.38,Bearish,-0.8702500000000001,0.719,58.746,1.0,Neutral,0.0,13878.0,82165.3,True,False
PIDILITIND,Short Bias,,-0.33240000000000003,-0.036021260805708596,-0.372,Bearish,-0.9,0.522,58.378,1.0,Neutral,0.0,1444.5999755859375,591764.95,True,True
MAHSEAMLES,Short Bias,,-0.33559999999999995,-0.21491651690643207,-0.968,NA,0.0,,57.92,1.0,Bearish,-1.0,568.0,207959.2,True,True
BAYERCROP,Skip,avgVol20<200000.0 or NaN (avg_vol_20=20460.0),-0.3464,-0.2623008873941058,-0.992,NA,0.0,,52.019999999999996,1.0,Bearish,-1.0,4884.60009765625,20460.0,True,False
PRAJIND,Short Bias,,-0.3482,-0.26609964516439216,-0.996,NA,0.0,,54.39,1.0,Bearish,-1.0,337.6000061035156,965121.95,True,True
PFC,Short Bias,,-0.3483375,-0.034113183861326155,-0.356,Bearish,-0.82325,0.907,55.870000000000005,1.0,Bearish,-1.0,403.25,4687902.05,True,True
TECHM,Short Bias,,-0.35926249999999993,-0.04757016777768941,-0.45599999999999996,Bearish,-0.86875,0.725,65.65,1.0,Neutral,0.0,1424.4000244140625,1607307.25,True,True
HAPPSTMNDS,Watchlist,,-0.36566,-0.18937768578401257,-0.952,NA,0.0,,41.274,0.4182666666666668,Neutral,0.0,515.5499877929688,515283.2,True,True
HINDUNILVR,Short Bias,,-0.36839999999999995,-0.0474623008478825,-0.45199999999999996,Bearish,-0.9,0.5,62.55200000000001,1.0,Neutral,0.0,2465.5,1514610.05,True,True
CDSL,Short Bias,,-0.3687775,0.010991386162121176,-0.016000000000000014,Bearish,-0.8932500000000001,0.627,30.106,-0.3262666666666666,Neutral,0.0,1587.199951171875,1958204.15,True,True
GILLETTE,Skip,avgVol20<200000.0 or NaN (avg_vol_20=26851.3),-0.37804,-0.1876230248989422,-0.944,NA,0.0,,44.676,0.6450666666666669,Bearish,-1.0,9016.5,26851.3,True,False
WOCKPHARMA,Short Bias,,-0.38636,-0.11440192256017064,-0.756,NA,0.0,,35.384,0.025600000000000067,Bearish,-1.0,1281.5,330935.55,True,True
ULTRACEMCO,Short Bias,,-0.39267500000000005,-0.03993778568336963,-0.396,Bearish,-0.8985000000000001,0.606,67.858,1.0,Bearish,-1.0,11947.0,227667.9,True,True
SIGNATURE,Watchlist,,-0.40604000000000007,-0.07256909423832912,-0.5800000000000001,NA,0.0,,20.496,-0.9669333333333334,Neutral,0.0,1084.300048828125,359471.6,True,True
BDL,Short Bias,,-0.4174999999999999,-0.029877369310195113,-0.32399999999999995,Bearish,-0.882,0.672,33.7,-0.08666666666666645,Bullish,1.0,1529.9000244140625,1000679.3,True,True
RELINFRA,Watchlist,,-0.4176,-0.17562857549564584,-0.928,NA,0.0,,,0.0,Neutral,0.0,215.9600067138672,1273097.15,True,True
BLS,Watchlist,,-0.4317,-0.1116972352388258,-0.748,NA,0.0,,25.490000000000002,-0.6339999999999999,Neutral,0.0,314.6000061035156,9230003.2,True,True
CONCOR,Short Bias,,-0.43743750000000003,-0.08663440458259102,-0.648,Bearish,-0.8452500000000001,0.819,51.774,1.0,Neutral,0.0,545.25,946646.2,True,True
MAXHEALTH,Short Bias,,-0.45299999999999996,-0.0856093448973986,-0.64,Bearish,-0.9,0.576,67.876,1.0,Neutral,0.0,1147.800048828125,2828619.8,True,True
SYNGENE,Short Bias,,-0.461925,-0.086052308648201,-0.644,Bearish,-0.8595,0.762,47.87,0.8579999999999999,Neutral,0.0,650.0999755859375,578429.4,True,True
DALBHARAT,Short Bias,,-0.4728,-0.09572680545155737,-0.6839999999999999,Bearish,-0.9,0.51,59.21999999999999,1.0,Neutral,0.0,2096.800048828125,358412.85,True,True
MAZDOCK,Short Bias,,-0.47442,-0.01321343839896452,-0.20399999999999996,Bearish,-0.9,0.409,28.238,-0.4508,Neutral,0.0,2729.0,837587.15,True,True
DABUR,Short Bias,,-0.49837999999999993,-0.09876825739347395,-0.712,Bearish,-0.9,0.478,48.702000000000005,0.9134666666666671,Neutral,0.0,487.54998779296875,2601341.65,True,True
DIXON,Short Bias,,-0.5012,-0.0854982208681892,-0.636,Bearish,-0.9,0.53,55.65,1.0,Bearish,-1.0,15494.0,263096.9,True,True
JUBLFOOD,Short Bias,,-0.511175,-0.10070780179095788,-0.72,Bearish,-0.8205,0.918,58.782,1.0,Bearish,-1.0,597.8499755859375,1285880.4,True,True
PATANJALI,Short Bias,,-0.51346,-0.04525809043844396,-0.42800000000000005,Bearish,-0.9,0.38,39.414,0.2942666666666667,Bearish,-1.0,602.4000244140625,740095.8,True,True
AMBUJACEM,Short Bias,,-0.5387325,-0.10564140439098002,-0.732,Bearish,-0.85575,0.777,44.018,0.6012,Neutral,0.0,565.4000244140625,1409965.35,True,True
JIOFIN,Short Bias,,-0.5456874999999999,-0.1373218944999211,-0.848,Bearish,-0.88625,0.655,49.61000000000001,0.9740000000000004,Neutral,0.0,306.79998779296875,9597772.65,True,True
SHREECEM,Skip,avgVol20<200000.0 or NaN (avg_vol_20=22958.65),-0.5457,-0.11797593255445925,-0.784,Bearish,-0.9,0.4,47.21,0.8140000000000001,Neutral,0.0,28310.0,22958.65,True,False
PAGEIND,Skip,avgVol20<200000.0 or NaN (avg_vol_20=18111.4),-0.5501999999999999,-0.13947729816926646,-0.856,Bearish,-0.9,0.597,61.854,1.0,Neutral,0.0,41200.0,18111.4,True,False
BOSCHLTD,Skip,avgVol20<200000.0 or NaN (avg_vol_20=18126.45),-0.56972,-0.13254245749711066,-0.8280000000000001,Bearish,-0.9,0.469,46.788,0.7858666666666665,Neutral,0.0,37245.0,18126.45,True,False
ICICIBANK,Short Bias,,-0.5718,-0.16529873208939713,-0.904,Bearish,-0.9,0.551,63.712,1.0,Neutral,0.0,1345.300048828125,13091632.9,True,True
TATAELXSI,Short Bias,,-0.57372,-0.11686971316391435,-0.768,Bearish,-0.9,0.525,43.688,0.5792000000000002,Neutral,0.0,5454.5,208846.6,True,True
CROMPTON,Short Bias,,-0.594175,-0.22358721738351922,-0.972,Bearish,-0.8765000000000001,0.694,60.489999999999995,1.0,Neutral,0.0,282.70001220703125,3127562.4,True,True
RVNL,Short Bias,,-0.6095600000000001,-0.07226179903992824,-0.5760000000000001,Bearish,-0.9,0.586,31.464,-0.23573333333333346,Neutral,0.0,328.79998779296875,3616908.8,True,True
PGEL,Short Bias,,-0.61222,-0.12658336031004525,-0.796,Bearish,-0.9,0.519,41.098,0.4065333333333332,Neutral,0.0,570.9500122070312,3483050.25,True,True
ANGELONE,Short Bias,,-0.63482,-0.043633533431238804,-0.42000000000000004,Bearish,-0.8700000000000001,0.72,25.868000000000002,-0.6087999999999998,Bearish,-1.0,2492.39990234375,1018527.0,True,True
