trade_id,ticker,side,datetime,price,shares,reason,pnl_inr,pnl_pct
RELIANCE.NS-00013,RELIANCE.NS,SELL,2018-07-26,493.641209,103,exit_max_hold,1195.768835,2.41087
RELIANCE.NS-00014,RELIANCE.NS,BUY,2019-01-18,526.924586,94,entry_bb_breakout,,
RELIANCE.NS-00014,RELIANCE.NS,SELL,2019-02-01,555.554664,94,exit_max_hold,2640.350879,5.330713
RELIANCE.NS-00015,RELIANCE.NS,BUY,2020-04-22,610.315686,81,entry_bb_breakout,,
RELIANCE.NS-00015,RELIANCE.NS,SELL,2020-05-07,673.801603,81,exit_max_hold,5090.35245,10.296943
RELIANCE.NS-00016,RELIANCE.NS,BUY,2020-06-19,794.930958,62,entry_bb_breakout,,
RELIANCE.NS-00016,RELIANCE.NS,SELL,2020-07-03,810.284413,62,exit_max_hold,902.152544,1.830454
RELIANCE.NS-00017,RELIANCE.NS,BUY,2020-07-23,933.537458,53,entry_bb_breakout,,
RELIANCE.NS-00017,RELIANCE.NS,SELL,2020-08-06,967.183769,53,exit_max_hold,1732.88534,3.502371
RELIANCE.NS-00018,RELIANCE.NS,BUY,2020-09-09,980.513693,50,entry_bb_breakout,,
RELIANCE.NS-00018,RELIANCE.NS,SELL,2020-09-23,1011.008647,50,exit_max_hold,1474.959622,3.008545
RELIANCE.NS-00019,RELIANCE.NS,BUY,2021-01-20,932.130994,53,entry_bb_breakout,,
RELIANCE.NS-00019,RELIANCE.NS,SELL,2021-01-25,879.669991,53,exit_mean_reversion,-2828.445851,-5.725258
RELIANCE.NS-00020,RELIANCE.NS,BUY,2021-05-28,950.322702,52,entry_bb_breakout,,
RELIANCE.NS-00020,RELIANCE.NS,SELL,2021-06-11,1006.506322,52,exit_max_hold,2870.670661,5.809101
RELIANCE.NS-00021,RELIANCE.NS,BUY,2021-08-16,989.463112,50,entry_bb_breakout,,
RELIANCE.NS-00021,RELIANCE.NS,SELL,2021-08-31,1026.971609,50,exit_max_hold,1825.013964,3.688897
RELIANCE.NS-00022,RELIANCE.NS,BUY,2021-09-03,1087.339541,45,entry_bb_breakout,,
RELIANCE.NS-00022,RELIANCE.NS,SELL,2021-09-20,1088.913279,45,exit_max_hold,21.852529,0.044661
RELIANCE.NS-00023,RELIANCE.NS,BUY,2021-10-08,1216.058653,41,entry_bb_breakout,,
RELIANCE.NS-00023,RELIANCE.NS,SELL,2021-10-25,1183.258417,41,exit_mean_reversion,-1393.995699,-2.795909
RELIANCE.NS-00024,RELIANCE.NS,BUY,2022-01-12,1147.704425,43,entry_bb_breakout,,
RELIANCE.NS-00024,RELIANCE.NS,SELL,2022-01-24,1081.432036,43,exit_mean_reversion,-2897.639155,-5.871456
RELIANCE.NS-00025,RELIANCE.NS,BUY,2022-03-22,1152.279587,43,entry_bb_breakout,,
RELIANCE.NS-00025,RELIANCE.NS,SELL,2022-04-05,1194.286713,43,exit_max_hold,1755.855242,3.543744
RELIANCE.NS-00026,RELIANCE.NS,BUY,2022-10-31,1164.465731,42,entry_bb_breakout,,
RELIANCE.NS-00026,RELIANCE.NS,SELL,2022-11-15,1189.628643,42,exit_max_hold,1007.406324,2.059817
RELIANCE.NS-00027,RELIANCE.NS,BUY,2023-06-14,1165.493344,42,entry_bb_breakout,,
RELIANCE.NS-00027,RELIANCE.NS,SELL,2023-06-26,1138.6406,42,exit_mean_reversion,-1176.202067,-2.402829
RELIANCE.NS-00028,RELIANCE.NS,BUY,2023-07-03,1194.655257,41,entry_bb_breakout,,
RELIANCE.NS-00028,RELIANCE.NS,SELL,2023-07-17,1276.045862,41,exit_max_hold,3286.365446,6.709488
RELIANCE.NS-00029,RELIANCE.NS,BUY,2023-12-06,1222.11991,40,entry_bb_breakout,,
RELIANCE.NS-00029,RELIANCE.NS,SELL,2023-12-20,1253.664236,40,exit_max_hold,1212.257369,2.479825
RELIANCE.NS-00030,RELIANCE.NS,BUY,2023-12-21,1272.497381,39,entry_bb_breakout,,
RELIANCE.NS-00030,RELIANCE.NS,SELL,2024-01-05,1293.623373,39,exit_max_hold,773.874319,1.559369
RELIANCE.NS-00031,RELIANCE.NS,BUY,2024-01-29,1438.129838,34,entry_bb_breakout,,
RELIANCE.NS-00031,RELIANCE.NS,SELL,2024-02-12,1440.958604,34,exit_max_hold,47.233515,0.096599
RELIANCE.NS-00032,RELIANCE.NS,BUY,2024-06-03,1499.97813,33,entry_bb_breakout,,
RELIANCE.NS-00032,RELIANCE.NS,SELL,2024-06-04,1386.315651,33,exit_mean_reversion,-3798.485661,-7.67382
RELIANCE.NS-00033,RELIANCE.NS,BUY,2024-06-26,1503.652818,33,entry_bb_breakout,,
RELIANCE.NS-00033,RELIANCE.NS,SELL,2024-07-10,1571.799279,33,exit_max_hold,2198.088241,4.429795
RELIANCE.NS-00034,RELIANCE.NS,BUY,2025-01-17,1297.817774,38,entry_bb_breakout,,
RELIANCE.NS-00034,RELIANCE.NS,SELL,2025-01-23,1257.993857,38,exit_atr_stop,-1561.869255,-3.166995
RELIANCE.NS-00035,RELIANCE.NS,BUY,2025-03-24,1297.568626,38,entry_bb_breakout,,
RELIANCE.NS-00035,RELIANCE.NS,SELL,2025-04-01,1246.993257,38,exit_atr_stop,-1970.210705,-3.995754
RELIANCE.NS-00036,RELIANCE.NS,BUY,2025-04-28,1364.036658,36,entry_bb_breakout,,
RELIANCE.NS-00036,RELIANCE.NS,SELL,2025-05-13,1409.363203,36,exit_max_hold,1581.834431,3.22131
RELIANCE.NS-00037,RELIANCE.NS,BUY,2025-06-20,1461.097615,34,entry_bb_breakout,,
RELIANCE.NS-00037,RELIANCE.NS,SELL,2025-07-04,1520.463875,34,exit_max_hold,1967.766285,3.961096
TCS.NS-00001,TCS.NS,BUY,2015-05-22,1106.783828,45,entry_bb_breakout,,
TCS.NS-00001,TCS.NS,SELL,2015-06-05,1098.03213,45,exit_max_hold,-443.434772,-0.890337
TCS.NS-00002,TCS.NS,BUY,2015-08-11,1113.615612,44,entry_bb_breakout,,
TCS.NS-00002,TCS.NS,SELL,2015-08-24,1101.587725,44,exit_mean_reversion,-577.961502,-1.179535
TCS.NS-00003,TCS.NS,BUY,2015-10-01,1130.891457,44,entry_bb_breakout,,
TCS.NS-00003,TCS.NS,SELL,2015-10-14,1061.025252,44,exit_mean_reversion,-3122.33518,-6.274887
TCS.NS-00004,TCS.NS,BUY,2016-06-01,1131.349205,44,entry_bb_breakout,,
TCS.NS-00004,TCS.NS,SELL,2016-06-13,1104.414313,44,exit_mean_reversion,-1234.322041,-2.479586
TCS.NS-00005,TCS.NS,BUY,2016-07-28,1139.825121,43,entry_bb_breakout,,
TCS.NS-00005,TCS.NS,SELL,2016-08-11,1178.094618,43,exit_max_hold,1595.7531,3.25581
