trade_id,ticker,entry_time,entry_price,exit_time,exit_price,shares,days_held,exit_reason,fees_inr,gross_pnl_inr,net_pnl_inr,net_pnl_pct
RELIANCE.NS-00023,RELIANCE.NS,2021-10-08,1216.058653,2021-10-25,1183.258417,41,10,exit_mean_reversion,49.186,-1344.809699,-1393.995699,-2.795909
RELIANCE.NS-00024,RELIANCE.NS,2022-01-12,1147.704425,2022-01-24,1081.432036,43,8,exit_mean_reversion,47.926434,-2849.712721,-2897.639155,-5.871456
RELIANCE.NS-00025,RELIANCE.NS,2022-03-22,1152.279587,2022-04-05,1194.286713,43,10,exit_max_hold,50.451175,1806.306417,1755.855242,3.543744
RELIANCE.NS-00026,RELIANCE.NS,2022-10-31,1164.465731,2022-11-15,1189.628643,42,10,exit_max_hold,49.435982,1056.842306,1007.406324,2.059817
RELIANCE.NS-00027,RELIANCE.NS,2023-06-14,1165.493344,2023-06-26,1138.6406,42,8,exit_mean_reversion,48.386813,-1127.815254,-1176.202067,-2.402829
RELIANCE.NS-00028,RELIANCE.NS,2023-07-03,1194.655257,2023-07-17,1276.045862,41,10,exit_max_hold,50.649373,3337.014819,3286.365446,6.709488
RELIANCE.NS-00029,RELIANCE.NS,2023-12-06,1222.11991,2023-12-20,1253.664236,40,10,exit_max_hold,49.515683,1261.773052,1212.257369,2.479825
RELIANCE.NS-00030,RELIANCE.NS,2023-12-21,1272.497381,2024-01-05,1293.623373,39,10,exit_max_hold,50.039355,823.913674,773.874319,1.559369
RELIANCE.NS-00031,RELIANCE.NS,2024-01-29,1438.129838,2024-02-12,1440.958604,34,10,exit_max_hold,48.944504,96.178019,47.233515,0.096599
RELIANCE.NS-00032,RELIANCE.NS,2024-06-03,1499.97813,2024-06-04,1386.315651,33,1,exit_mean_reversion,47.623847,-3750.861813,-3798.485661,-7.67382
RELIANCE.NS-00033,RELIANCE.NS,2024-06-26,1503.652818,2024-07-10,1571.799279,33,10,exit_max_hold,50.74496,2248.833201,2198.088241,4.429795
RELIANCE.NS-00034,RELIANCE.NS,2025-01-17,1297.817774,2025-01-23,1257.993857,38,4,exit_atr_stop,48.560421,-1513.308834,-1561.869255,-3.166995
RELIANCE.NS-00035,RELIANCE.NS,2025-03-24,1297.568626,2025-04-01,1246.993257,38,5,exit_atr_stop,48.346676,-1921.86403,-1970.210705,-3.995754
RELIANCE.NS-00036,RELIANCE.NS,2025-04-28,1364.036658,2025-05-13,1409.363203,36,10,exit_max_hold,49.921198,1631.755628,1581.834431,3.22131
RELIANCE.NS-00037,RELIANCE.NS,2025-06-20,1461.097615,2025-07-04,1520.463875,34,10,exit_max_hold,50.686545,2018.45283,1967.766285,3.961096
TCS.NS-00001,TCS.NS,2015-05-22,1106.783828,2015-06-05,1098.03213,45,10,exit_max_hold,49.608359,-393.826413,-443.434772,-0.890337
TCS.NS-00002,TCS.NS,2015-08-11,1113.615612,2015-08-24,1101.587725,44,9,exit_mean_reversion,48.734473,-529.227029,-577.961502,-1.179535
TCS.NS-00003,TCS.NS,2015-10-01,1130.891457,2015-10-14,1061.025252,44,8,exit_mean_reversion,48.222168,-3074.113013,-3122.33518,-6.274887
TCS.NS-00004,TCS.NS,2016-06-01,1131.349205,2016-06-13,1104.414313,44,8,exit_mean_reversion,49.186797,-1185.135244,-1234.322041,-2.479586
TCS.NS-00005,TCS.NS,2016-07-28,1139.825121,2016-08-11,1178.094618,43,10,exit_max_hold,49.835274,1645.588374,1595.7531,3.25581
TCS.NS-00006,TCS.NS,2017-02-10,1049.306251,2017-02-27,1088.431464,47,10,exit_max_hold,50.236836,1838.885006,1788.64817,3.62681
TCS.NS-00007,TCS.NS,2017-05-25,1148.484844,2017-05-31,1113.239489,43,4,exit_atr_stop,48.627073,-1515.55029,-1564.177364,-3.167322
TCS.NS-00008,TCS.NS,2017-07-24,1122.931669,2017-08-07,1109.729892,44,10,exit_max_hold,49.118554,-580.878187,-629.996741,-1.275065
TCS.NS-00009,TCS.NS,2017-10-12,1130.697146,2017-10-27,1148.687942,44,10,exit_max_hold,50.146472,791.595017,741.448545,1.490329
TCS.NS-00010,TCS.NS,2017-11-13,1227.544618,2017-11-21,1188.091448,40,6,exit_atr_stop,48.312721,-1578.126792,-1626.439513,-3.312384
TCS.NS-00011,TCS.NS,2018-01-10,1248.745154,2018-01-24,1414.414265,40,10,exit_max_hold,53.263188,6626.764438,6573.50125,13.160214
TCS.NS-00012,TCS.NS,2018-04-20,1517.447065,2018-05-07,1524.173201,32,10,exit_max_hold,48.665924,215.236354,166.570429,0.343032
TCS.NS-00013,TCS.NS,2018-06-13,1640.58734,2018-06-27,1669.4067,30,10,exit_max_hold,49.649911,864.580818,814.930907,1.655771
TCS.NS-00014,TCS.NS,2018-07-11,1780.713398,2018-07-25,1783.958405,28,10,exit_max_hold,49.905405,90.860185,40.954779,0.08214
TCS.NS-00015,TCS.NS,2018-08-28,1864.779336,2018-09-11,1842.253461,26,10,exit_mean_reversion,48.191426,-585.672737,-633.864164,-1.307361
TCS.NS-00016,TCS.NS,2018-09-24,1981.260521,2018-10-04,1858.953725,25,7,exit_mean_reversion,48.002678,-3057.669894,-3105.672572,-6.270094
TCS.NS-00017,TCS.NS,2018-11-28,1791.672122,2018-12-12,1819.564128,27,10,exit_max_hold,48.751689,753.08417,704.33248,1.45598
TCS.NS-00018,TCS.NS,2019-04-15,1912.625146,2019-05-03,1927.620668,26,10,exit_max_hold,49.923196,389.883579,339.960384,0.683636
TCS.NS-00019,TCS.NS,2019-10-29,2012.099663,2019-11-11,1924.092404,24,9,exit_mean_reversion,47.234305,-2112.174218,-2159.408523,-4.471715
TCS.NS-00020,TCS.NS,2020-04-30,1864.437246,2020-05-15,1750.188067,26,10,exit_atr_stop,46.990129,-2970.478656,-3017.468785,-6.224746
TCS.NS-00021,TCS.NS,2020-06-04,1941.486738,2020-06-18,1889.979952,25,10,exit_max_hold,47.893334,-1287.669635,-1335.562969,-2.751629
TCS.NS-00022,TCS.NS,2020-07-02,2002.379351,2020-07-16,2076.987598,24,10,exit_max_hold,48.952403,1790.597918,1741.645515,3.624117
TCS.NS-00023,TCS.NS,2020-09-07,2164.935198,2020-09-21,2291.261267,23,10,exit_max_hold,51.246259,2905.499583,2854.253324,5.732179
TCS.NS-00024,TCS.NS,2020-12-08,2613.520218,2020-12-22,2681.097257,19,10,exit_max_hold,50.298866,1283.96374,1233.664874,2.484378
TCS.NS-00025,TCS.NS,2021-01-04,2839.761701,2021-01-18,3012.798267,17,10,exit_max_hold,49.74676,2941.621633,2891.874873,5.990301
TCS.NS-00026,TCS.NS,2021-06-11,3079.525321,2021-06-25,3176.997865,16,10,exit_max_hold,50.052185,1559.560693,1509.508508,3.063598
TCS.NS-00027,TCS.NS,2021-08-13,3264.983971,2021-08-30,3485.767963,15,10,exit_max_hold,50.63064,3311.759877,3261.129238,6.658796
TCS.NS-00028,TCS.NS,2022-01-03,3605.939764,2022-01-17,3792.37142,13,10,exit_max_hold,48.089023,2423.611531,2375.522509,5.067542
TCS.NS-00029,TCS.NS,2022-11-11,3175.15148,2022-11-25,3242.47756,15,10,exit_max_hold,48.132218,1009.891199,961.758982,2.019345
TCS.NS-00030,TCS.NS,2022-12-01,3328.070186,2022-12-06,3238.364383,15,3,exit_atr_stop,49.248259,-1345.587047,-1394.835306,-2.794082
TCS.NS-00031,TCS.NS,2023-01-13,3231.262773,2023-01-30,3292.372766,15,10,exit_max_hold,48.927267,916.649885,867.722618,1.790265
TCS.NS-00032,TCS.NS,2023-07-14,3398.499914,2023-07-21,3262.192307,14,5,exit_atr_stop,46.624846,-1908.306509,-1954.931355,-4.108811
TCS.NS-00033,TCS.NS,2023-09-15,3488.433286,2023-10-03,3403.156945,14,10,exit_mean_reversion,48.241132,-1193.868775,-1242.109907,-2.543323
TCS.NS-00034,TCS.NS,2023-12-15,3752.79758,2024-01-01,3700.593602,13,10,exit_max_hold,48.447043,-678.651719,-727.098762,-1.490373
TCS.NS-00035,TCS.NS,2024-02-06,4029.383069,2024-02-20,3922.824472,12,10,exit_max_hold,47.713245,-1278.703172,-1326.416417,-2.743217
TCS.NS-00036,TCS.NS,2024-03-12,4084.183405,2024-03-19,3870.901716,12,5,exit_mean_reversion,47.730511,-2559.380273,-2607.110784,-5.319527
TCS.NS-00037,TCS.NS,2024-07-01,3903.820075,2024-07-15,4087.159988,12,10,exit_max_hold,47.94588,2200.078948,2152.133068,4.594075
TCS.NS-00038,TCS.NS,2024-07-18,4234.861978,2024-08-01,4320.586673,11,10,exit_max_hold,47.054968,942.97164,895.916673,1.92325
TCS.NS-00039,TCS.NS,2024-11-25,4254.610129,2024-12-09,4385.351149,11,10,exit_max_hold,47.519787,1438.151228,1390.631441,2.97139
HDFCBANK.NS-00001,HDFCBANK.NS,2015-06-25,235.34874,2015-07-09,238.893631,212,10,exit_max_hold,50.269691,751.516851,701.24716,1.405476
HDFCBANK.NS-00002,HDFCBANK.NS,2015-10-05,244.54291,2015-10-19,244.176191,204,10,exit_max_hold,49.849348,-74.810829,-124.660177,-0.249886
HDFCBANK.NS-00003,HDFCBANK.NS,2016-04-26,247.9939,2016-05-10,254.652365,201,10,exit_max_hold,50.51595,1338.351501,1287.835552,2.583589
HDFCBANK.NS-00004,HDFCBANK.NS,2016-06-29,264.422276,2016-07-14,271.404635,189,10,exit_max_hold,50.635643,1319.665925,1269.030282,2.539289
HDFCBANK.NS-00005,HDFCBANK.NS,2016-07-15,276.960982,2016-07-29,281.771489,180,10,exit_max_hold,50.285922,865.891217,815.605294,1.636021
HDFCBANK.NS-00006,HDFCBANK.NS,2016-08-24,285.584249,2016-08-29,279.940099,175,3,exit_mean_reversion,49.48338,-987.726249,-1037.209629,-2.075364
HDFCBANK.NS-00007,HDFCBANK.NS,2016-08-30,287.134554,2016-09-15,289.323406,174,10,exit_max_hold,50.151842,380.860196,330.708353,0.661928
