Symbol,Latest_Date,Latest_Deliverable_Qty,Avg_Deliverable_Qty,Delivery_Ratio,Delivery_Z,Delivery_RobustZ,Delivery_Pctile,Latest_Close,Latest_VWAP_N,CloseAboveVWAP,CloseVWAPDiffPct,Anomaly
TIINDIA,2025-08-01,101424.0,188664.85714285713,0.5375881949397798,-0.3648255788294464,-0.21896371849405016,0.42857142857142855,2808.4,2902.9440669401897,False,-3.256833916191937,False
VOLTAS,2025-08-01,207556.0,559380.8571428572,0.37104594722838974,-1.1783545425809436,-1.026552643201783,0.047619047619047616,1317.4,1361.8255120289184,False,-3.262202950121773,False
PHOENIXLTD,2025-08-01,144139.0,553030.7142857143,0.2606347102912135,-1.0577222857574444,-0.7416651780613842,0.047619047619047616,1452.2,1501.9610997090288,False,-3.3130751334817354,False
BSE,2025-08-01,602402.0,1457093.5714285714,0.4134271208192826,-0.6303984148000565,-0.8053466365462306,0.09523809523809523,2411.3,2494.0247360189605,False,-3.316917223163074,False
KARURVYSYA,2025-08-01,676901.0,1258900.0952380951,0.5376923892217024,-1.0325871706311573,-1.442709626366755,0.09523809523809523,259.7,268.9193702930792,False,-3.4283027968686652,False
AFCONS,2025-08-01,327769.0,663207.2380952381,0.49421806815825436,-0.47128020700257955,-0.5237433229607575,0.23809523809523808,405.85,420.4327828930527,False,-3.4685170820188294,False
KPITTECH,2025-08-01,321516.0,344473.0,0.933356170149765,-0.1278163153276207,0.3325895671080391,0.5714285714285714,1206.5,1249.9290857802825,False,-3.474523976947974,False
ZENSARTECH,2025-08-01,197283.0,269595.38095238095,0.7317744069021954,-0.5588975904194324,-0.2607811810363809,0.3333333333333333,792.2,822.558868398261,False,-3.6907836708851782,False
PCBL,2025-08-01,638188.0,661326.3333333334,0.9650122304721975,-0.041515238837779425,0.3992386894091775,0.6666666666666666,400.5,416.0492505846377,False,-3.7373581523792443,False
GODFRYPHLP,2025-08-01,60272.0,57255.619047619046,1.0526827061265769,0.08401482578218604,0.6547427994265878,0.7142857142857143,8777.0,9121.32255683181,False,-3.7749192037279222,False
NHPC,2025-08-01,4330836.0,5721368.238095238,0.7569580945976351,-0.4253747300386473,0.10187516402297773,0.5714285714285714,83.24,86.65833041146355,False,-3.9446068199478823,False
JBMA,2025-08-01,129877.0,129721.52380952382,1.001198538113879,0.0012366710032262489,0.6855845011658431,0.7619047619047619,626.0,651.9406758910259,False,-3.978993311864154,False
ASTRAL,2025-08-01,357954.0,338460.04761904763,1.0575960220950325,0.13609264336783067,0.3412952888426715,0.6666666666666666,1403.1,1465.535478708088,False,-4.260250237212048,False
OFSS,2025-08-01,60873.0,40776.857142857145,1.4928320686103462,0.7054018742655808,2.8443504937260045,0.8571428571428571,8378.5,8751.880811306008,False,-4.266292233135305,False
COFORGE,2025-08-01,650333.0,1066763.7142857143,0.6096317218995879,-0.43889053438235476,-0.27107582321154294,0.47619047619047616,1706.3,1782.4306484181948,False,-4.271170296906446,False
NTPCGREEN,2025-08-01,1717459.0,3944953.904761905,0.43535591073114355,-0.6567050487397927,-0.904694935696655,0.09523809523809523,104.53,109.26192688984543,False,-4.330810397125806,False
NCC,2025-08-01,1029471.0,802736.2857142857,1.2824523050978849,0.7620033626349839,0.8330069290677694,0.8571428571428571,214.05,223.79674607786933,False,-4.355177744397576,False
TATACOMM,2025-08-01,82002.0,250574.7142857143,0.32725568592886184,-0.8310722251314708,-1.2045485436770673,0.19047619047619047,1667.2,1744.3493880435994,False,-4.422817388099487,False
ABCAPITAL,2025-08-01,1823524.0,1503294.0,1.2130188772123085,0.3537651262967645,1.706663538339578,0.7142857142857143,251.45,263.34838053316986,False,-4.5181141836075245,False
BANKINDIA,2025-08-01,2359233.0,3257020.0476190476,0.7243532325582861,-0.7158581264017996,-0.44226716068879296,0.2857142857142857,109.29,114.6290718802414,False,-4.657694416141989,False
RPOWER,2025-10-28,10355004.0,9120017.238095239,1.1354149591676315,0.20685542677223745,1.3180324001601709,0.8095238095238095,43.68,45.84939017731326,False,-4.731557320443269,False
JUBLFOOD,2025-08-01,606591.0,413649.04761904763,1.466438768544303,0.8392195903571129,2.098185677702388,0.9047619047619048,641.95,673.8454155374625,False,-4.73334310837783,False
GRSE,2025-08-01,193237.0,300670.4761904762,0.6426869789423003,-0.9134761254394321,-1.138452412164423,0.19047619047619047,2580.7,2711.0676765801813,False,-4.808720848482507,False
MFSL,2025-08-01,283141.0,451499.7619047619,0.627112180093962,-0.7172844721272937,-0.4718722218348048,0.2857142857142857,1472.5,1548.755752381648,False,-4.923678395665898,False
IGL,2025-08-01,826426.0,1396454.4285714286,0.591803057150553,-0.7487630400058649,-0.5487512391832091,0.3333333333333333,201.54,212.2024439718764,False,-5.0246565366087514,False
CREDITACC,2025-08-01,63019.0,203959.7142857143,0.3089776832679843,-0.6115822929122176,-0.6297149632685297,0.19047619047619047,1246.3,1313.1086075748744,False,-5.0878203972983265,False
KPIL,2025-08-01,63492.0,123272.14285714286,0.5150555391381438,-0.42350865016825395,-0.22886730139198255,0.3333333333333333,1121.2,1181.938300725192,False,-5.138872366512304,False
SRF,2025-08-01,255651.0,230405.61904761905,1.1095692937382893,0.3097181057550296,0.44415932526873986,0.6666666666666666,2985.2,3149.9159470815703,False,-5.229217218769966,False
NBCC,2025-08-01,1657318.0,2618179.4285714286,0.633003980519506,-0.8414827866633465,-0.4994071439162431,0.19047619047619047,107.26,113.2478771645303,False,-5.287407865342065,False
CROMPTON,2025-08-01,786865.0,1038072.5714285715,0.7580057711351862,-0.5378280400520749,-0.5235608582595108,0.38095238095238093,321.2,339.2155520821045,False,-5.310945200337991,False
