USE_RSI,USE_MACD,USE_ADX,USE_SMA,USE_BB,RSI_LEN,RSI_LONG_MIN,RSI_SHORT_MAX,MACD_FAST,MACD_SLOW,MACD_SIGNAL,MACD_MODE,ADX_LEN,ADX_MIN,SMA_FAST,SMA_SLOW,BB_LEN,BB_STD,BB_SQUEEZE_PCTL,total_net,n_trades,win_rate,avg_pnl,profit_factor,sharpe,max_drawdown,cagr,expectancy
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,20,10,50,20,2.0,,144861.581870027,597.0,55.9463986599665,242.6492158626918,1.3015160035173774,-0.2174397349420535,-0.2896604816447136,0.17804488803771523,242.6492158626918
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,20,20,50,20,2.0,10.0,149288.56943092504,602.0,55.3156146179402,247.98765686200173,1.3049600116566844,-0.362036450773717,-0.2896607971855198,0.1812370381325663,247.98765686200173
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,20,20,50,20,2.0,,146806.74593402253,600.0,55.50000000000001,244.67790989003754,1.3005895769652809,-0.3595508640632957,-0.2896607073994465,0.17945525423578346,244.67790989003754
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,25,10,20,20,2.0,10.0,141320.4712387552,592.0,56.75675675675676,238.71701222762704,1.285948992570971,0.1810745294900863,-0.2896605977147749,0.17544526336812916,238.71701222762704
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,25,10,20,20,2.0,,142849.43464669885,593.0,56.82967959527825,240.89280716138086,1.2918260324607596,0.3448965174432803,-0.2896608477064447,0.1765728645842668,240.89280716138086
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,25,10,50,20,2.0,10.0,136010.90972459543,595.0,55.63025210084034,228.58976424301753,1.277981698679362,-0.27749578318656526,-0.2896605987311795,0.17146694361210013,228.58976424301753
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,25,10,50,20,2.0,,138963.9680401318,595.0,55.96638655462185,233.55288746240637,1.2867657700820836,-0.22178431008335195,-0.2896605987311795,0.17369173755729683,233.55288746240637
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,25,20,50,20,2.0,10.0,141950.24868319853,596.0,55.369127516778526,238.17155819328613,1.2893592187362009,-0.37126262318742287,-0.28966028579792863,0.17591067698090734,238.17155819328613
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,25,20,50,20,2.0,,140560.2842354293,596.0,55.70469798657718,235.83940307957937,1.2867254152206895,-0.36310525072009203,-0.2896606191045143,0.1748816771402637,235.83940307957937
True,True,True,True,True,14,50,45,12,26,9,line_cross,14,20,10,20,20,2.0,10.0,139697.70691185124,596.0,55.70469798657718,234.39212569102557,1.2816988253014634,0.3845925660304839,-0.32390041125614233,0.17423978101542237,234.39212569102557
