ticker,entry_date,exit_date,side,entry_px,exit_px,qty,days_held,gross_pnl,fees,net_pnl,ret_pct,reason,patterns,indicators_enabled,indicator_conf_true,indicator_values
RELIANCE.NS,2024-05-16,2024-05-31,short,1414.8778076171875,1419.8907470703125,35,15,265.06133056639555,40.0,265.06133056639555,0.5352533506818989,TIME_EXIT,HANGING_MAN_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 41.5840416043341, ""SMA_FAST"": 1403.5616333007813, ""SMA_SLOW"": 1444.682763671875, ""BB_BW"": 0.07428796595393626}"
RELIANCE.NS,2024-07-01,2024-07-15,long,1548.6875,1585.4901123046875,32,14,1087.5367519531355,40.0,1087.5367519531355,2.1944726420621,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 63.25041868401346, ""SMA_FAST"": 1482.3609008789062, ""SMA_SLOW"": 1445.0857885742187, ""BB_BW"": 0.11354526405259346}"
RELIANCE.NS,2024-07-18,2024-07-22,long,1575.0177001953125,1489.6495361328125,31,4,-2733.9154281005804,40.0,-2733.9154281005804,-5.59935423267769,HIT_SL,HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 65.84904476929094, ""SMA_FAST"": 1573.9083374023437, ""SMA_SLOW"": 1474.5626220703125, ""BB_BW"": 0.13228140819577747}"
RELIANCE.NS,2024-08-02,2024-08-19,short,1488.3092041015625,1482.4791259765625,33,17,-103.3745706787131,40.0,-103.3745706787131,-0.21047795304946754,TIME_EXIT,EVENING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 40.99389012571399, ""SMA_FAST"": 1492.850732421875, ""SMA_SLOW"": 1493.9332446289063, ""BB_BW"": 0.10984370941221507}"
RELIANCE.NS,2024-08-20,2024-09-03,short,1489.9990234375,1503.1217041015625,33,14,522.4349539184486,40.0,522.4349539184486,1.0625082292624104,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 41.39753651849996, ""SMA_FAST"": 1459.5054565429687, ""SMA_SLOW"": 1498.0166015625, ""BB_BW"": 0.06127221453201159}"
RELIANCE.NS,2024-09-10,2024-09-24,short,1455.7110595703125,1483.4501953125,34,14,1033.0963565673774,40.0,1033.0963565673774,2.087308931130395,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 48.00923033932086, ""SMA_FAST"": 1489.107666015625, ""SMA_SLOW"": 1505.1494140625, ""BB_BW"": 0.05522218338404571}"
RELIANCE.NS,2024-10-11,2024-10-25,short,1366.6417236328125,1322.5677490234375,36,14,-1498.2573154296942,40.0,-1498.2573154296942,-3.0452940256577365,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 37.848175438780764, ""SMA_FAST"": 1409.0623291015625, ""SMA_SLOW"": 1463.131455078125, ""BB_BW"": 0.13888767245503372}"
RELIANCE.NS,2024-10-28,2024-11-11,short,1329.0418701171875,1267.6370849609375,37,14,-2183.9384901123067,40.0,-2183.9384901123067,-4.441196769250421,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 26.09236376974394, ""SMA_FAST"": 1341.3328491210937, ""SMA_SLOW"": 1437.7044458007813, ""BB_BW"": 0.1118482838910771}"
RELIANCE.NS,2024-11-12,2024-11-28,short,1269.1810302734375,1265.7447509765625,39,16,-44.583839843759506,40.0,-44.583839843759506,-0.09007189308233891,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 30.023407908465018, ""SMA_FAST"": 1303.1702758789063, ""SMA_SLOW"": 1395.562255859375, ""BB_BW"": 0.08198884338273078}"
RELIANCE.NS,2024-12-04,2024-12-18,short,1303.742919921875,1248.2645263671875,38,14,-2019.6908135986373,40.0,-2019.6908135986373,-4.076705417950085,TIME_EXIT,ENGULFING_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 45.88299891848768, ""SMA_FAST"": 1281.7507934570312, ""SMA_SLOW"": 1340.1570361328124, ""BB_BW"": 0.08188041107108819}"
