entry_time,exit_time,side,entry_price,exit_price,reason,bars,gross_ret_pct,pnl,equity_after,ticker
2025-04-01,2025-04-04,LONG,87.47749108428955,92.83142847442627,TP_hit,2,6.12036001921672,7690.598908378388,134445.48348951395,SBFC.NS
2022-08-22,2022-08-30,LONG,920.3840522094727,905.8188,SL_hit,5,-1.5825189685226837,-1621.9614538230458,97779.5161848,SBICARD.NS
2023-05-24,2023-06-13,LONG,889.1777999999999,925.8148,MaxHold,13,4.120323291922046,3942.9760934000064,100863.35629340001,SBICARD.NS
2024-09-18,2024-10-04,LONG,790.1080022094726,753.3493,SL_hit,10,-4.652364247252261,-4716.192861153025,95627.52341945,SBICARD.NS
2025-01-29,2025-02-17,LONG,727.1454,863.8272000000001,MaxHold,13,18.7970383914964,17848.735118400007,113104.78251840001,SBICARD.NS
2020-07-23,2020-08-24,LONG,861.9723477905274,866.6266277954102,MaxHold,21,0.5399569970907958,485.4111694632884,99612.23116537393,SBILIFE.NS
2020-11-18,2020-12-21,LONG,863.92275,857.8284,MaxHold,21,-0.7054276554240513,-750.1753829999958,98600.940867,SBILIFE.NS
2022-07-27,2022-08-01,LONG,1140.228,1299.74,TP_hit,2,13.989482805193344,13662.143179999995,111721.75118,SBILIFE.NS
2023-06-13,2023-07-14,LONG,1238.2476,1320.2359000000001,MaxHold,21,6.621317093608758,7319.536384500018,118761.82038450001,SBILIFE.NS
2024-07-04,2024-07-19,LONG,1496.6993044189453,1631.6736,TP_hit,9,9.018130440934158,10598.518243703327,128837.76329280001,SBILIFE.NS
2025-04-29,2025-05-30,LONG,1734.2468044189452,1824.635,MaxHold,21,5.21195687665339,6621.214977998055,134955.47850499998,SBILIFE.NS
2020-10-01,2020-10-13,LONG,22.10442038154602,21.445710762786867,ATR_trail,6,-2.979990460682158,-3026.5042155894157,96907.58032938014,SJVN.NS
2022-10-03,2022-12-30,LONG,31.256249999999998,34.59307847442627,MaxHold,60,10.67571597496908,10283.909935215708,107115.7724352157,SJVN.NS
2023-06-22,2023-09-20,LONG,40.70814076309204,75.93480694885254,MaxHold,60,86.53469680860171,92511.0890986301,199532.79116479907,SJVN.NS
2025-08-26,2025-09-01,LONG,99.0198,94.18115694885255,ATR_trail,3,-4.886540925297222,-9839.867530058473,189586.00966994153,SJVN.NS
2020-12-23,2021-02-12,LONG,1620.3740588378905,2378.5242,MaxHold,34,46.78858792060914,46174.61362278867,145017.43121189997,SKFINDIA.NS
2022-07-13,2022-09-05,LONG,3730.746,4947.5103,MaxHold,34,32.614503908869686,46143.040704299994,187911.38870429998,SKFINDIA.NS
2023-06-26,2023-08-16,LONG,4900.879882324219,5028.994,MaxHold,34,2.6141044210825193,4772.785585679679,191006.22111399999,SKFINDIA.NS
2024-05-24,2024-05-31,LONG,6144.7785146484375,5980.153827636719,SL_hit,4,-2.6790987928901333,-5196.057681691639,185292.07627240993,SKFINDIA.NS
2025-06-27,2025-08-08,LONG,4761.9522,4567.186477636719,SL_hit,29,-4.090039424656144,-7487.873992879756,173466.30960712023,SKFINDIA.NS
2022-08-11,2022-09-01,LONG,2460.4919999999997,2514.1469723632813,MaxHold,12,2.180660305470683,2095.915955083997,100515.59595508399,SRF.NS
2023-04-27,2023-05-17,LONG,2481.4962,2548.4902,MaxHold,12,2.6997421958574908,2628.790196000006,101888.63819600001,SRF.NS
2023-12-15,2024-01-04,LONG,2415.4829999999997,2508.4982,MaxHold,12,3.8507909184208877,3853.9599378000116,105304.2459378,SRF.NS
2024-03-19,2024-04-09,LONG,2478.345667675781,2623.375122363281,MaxHold,12,5.851865483458174,6036.14621930538,110126.66426168819,SRF.NS
2024-07-15,2024-08-01,LONG,2390.72805,2630.9737,TP_hit,11,10.049058068315198,10990.787504899992,120964.2778049,SRF.NS
2025-01-30,2025-02-05,LONG,2700.54,2964.65695,TP_hit,4,9.780153228613543,11555.923347100004,130379.68334710001,SRF.NS
2025-08-12,2025-08-19,LONG,44.59891815261841,45.97080354232788,TP_hit,3,3.07605082485376,3022.8848729697415,102969.0604529876,SAGILITY.NS
2020-12-14,2021-01-15,LONG,173.81040515441893,209.25551906433105,MaxHold,22,20.39297582812807,20320.779536468475,120261.76250025936,SAMMAANCAP.NS
2021-06-01,2021-07-02,LONG,198.99709736938476,233.05076211547853,MaxHold,22,17.112643951224204,20498.032176481764,140692.27898759017,SAMMAANCAP.NS
2021-12-09,2022-01-07,LONG,225.5657034851074,199.14030923461914,ATR_trail,20,-11.71516495735042,-16525.052824380775,124002.38044684114,SAMMAANCAP.NS
2022-12-09,2023-01-11,LONG,125.71053136596679,123.20943826599121,MaxHold,22,-1.98956529162575,-2524.2573518219438,121300.61604365535,SAMMAANCAP.NS
2023-07-26,2023-08-29,LONG,107.8346729736328,172.00305283508303,MaxHold,22,59.50625906487457,72028.59324857673,193234.76567094,SAMMAANCAP.NS
2020-01-07,2020-01-22,LONG,39.07781369476318,37.92856236724854,SL_hit,10,-2.9409304637445732,-2987.127311441464,96934.84230606798,MOTHERSON.NS
2022-01-10,2022-01-17,LONG,65.85841441040039,84.31646920928955,TP_hit,4,28.02687396004824,27089.783846062528,123967.5114437615,MOTHERSON.NS
2023-05-29,2023-07-06,LONG,54.67759745635986,60.55455231628418,TP_hit,26,10.74837800730899,13248.571404814154,137148.0072409256,MOTHERSON.NS
2022-08-22,2022-09-08,LONG,254.90097610473632,295.9408,TP_hit,11,16.100300800103984,16029.606570143373,115950.78920320001,SAPPHIRE.NS
2023-06-02,2023-06-12,LONG,287.70752389526365,273.34531389770507,SL_hit,5,-4.991948004386204,-5828.550827111988,109829.873778784,SAPPHIRE.NS
2023-11-30,2024-01-19,LONG,280.1760191162109,284.14317220458986,MaxHold,34,1.4159502661551748,1495.6068673901723,111044.43034182864,SAPPHIRE.NS
2024-06-13,2024-08-01,LONG,298.9097761047363,331.45368501586915,TP_hit,32,10.887535809377358,12012.305547459848,122907.83248231701,SAPPHIRE.NS
2025-06-23,2025-07-21,LONG,325.065,342.7314277954102,TP_hit,19,5.434736989651356,6595.638404730205,129145.1434047302,SAPPHIRE.NS
2020-01-14,2020-01-17,LONG,24.60492038154602,26.194760762786867,TP_hit,2,6.461473382507865,6404.730069491102,106349.91665933104,SARDAEN.NS
2020-08-11,2020-08-13,LONG,20.5041,23.51029638977051,TP_hit,1,14.661440344957889,15523.18339632803,121816.43779632804,SARDAEN.NS
2022-12-08,2023-01-03,LONG,101.50029935760497,112.17755694885254,TP_hit,17,10.519434581793252,12734.781406514996,134433.64033628334,SARDAEN.NS
2024-04-23,2024-05-03,LONG,228.0456,269.946,TP_hit,6,18.373693682316183,24599.83650300001,158918.69490300003,SARDAEN.NS
2024-07-05,2024-07-10,LONG,242.5485,269.8960222045898,TP_hit,2,11.275073729414874,17797.02352254085,176423.74252254085,SARDAEN.NS
2025-08-08,2025-08-21,LONG,558.1116,602.7794444091797,TP_hit,7,8.003389359615486,13975.433226397188,189780.58722639718,SARDAEN.NS
2020-07-06,2020-07-21,LONG,40.638066020965574,47.61887321548462,TP_hit,10,17.178000525215875,17107.257486703893,117036.26183225824,SAREGAMA.NS
2023-07-11,2023-07-19,LONG,391.8462063537598,444.11886109619144,TP_hit,5,13.34009463274981,15511.0774029413,132281.24689636173,SAREGAMA.NS
