entry_time,exit_time,dir,entry,exit,qty,gross,net,brokerage,stt,stamp,exchange,sebi,ipf,gst
2025-07-11 13:05:00+05:30,2025-07-11 13:50:00+05:30,short,416.29998779296875,417.1499938964844,1201,-1020.8573303222656,-1245.343552768259,40,124.99407133483886,15.029914280090333,29.72891081186829,1.0009734280090332,1.0009734280090332,12.731379163177918
2025-07-11 15:00:00+05:30,2025-07-11 15:05:00+05:30,short,417.29998779296875,417.20001220703125,1198,119.770751953125,-104.62074903558982,40,124.98134634399415,14.994168438720704,29.6920107,0.9997309999999999,0.9997309999999999,12.724513506
2025-07-14 12:40:00+05:30,2025-07-14 14:10:00+05:30,short,419.1000061035156,419.45001220703125,1193,-417.5572814941406,-642.0064987884865,40,124.99657682037353,15.012115936889648,29.71158810378113,1.0003901718444823,1.0003901718444823,12.72815608961261
2025-07-15 09:45:00+05:30,2025-07-15 12:50:00+05:30,long,420.04998779296875,421.5,1190,1725.5145263671875,1626.038969386737,40,0.0,14.995784564208984,29.742901218566896,1.0014444854736326,1.0014444854736326,12.733982226727294
2025-07-15 15:00:00+05:30,2025-07-15 15:05:00+05:30,long,422.0,422.20001220703125,1184,236.814453125,137.41640457416798,40,0.0,14.98944,29.686124589257815,0.999532814453125,0.999532814453125,12.723418332667968
2025-07-15 15:20:00+05:30,2025-07-15 15:25:00+05:30,long,422.3500061035156,422.29998779296875,1183,-59.171661376953125,-158.5578619094781,40,0.0,14.98920171661377,29.67686200055237,0.999220942779541,0.999220942779541,12.721694929799746
2025-07-16 09:20:00+05:30,2025-07-16 09:50:00+05:30,long,422.20001220703125,422.0,1184,-236.814453125,-336.21960610942574,40,0.0,14.996544433593751,29.686124589257815,0.999532814453125,0.999532814453125,12.723418332667968
2025-07-17 11:10:00+05:30,2025-07-17 12:50:00+05:30,long,424.29998779296875,424.8999938964844,1178,706.8071899414062,607.373117158161,40,0.0,14.994761568603517,29.71062007937622,1.0003575784301757,1.0003575784301757,12.727975978405148
2025-07-18 14:50:00+05:30,2025-07-18 15:00:00+05:30,long,422.95001220703125,422.75,1182,-236.4144287109375,-335.823994013322,40,0.0,14.997807432861329,29.688637208532718,0.9996174144287109,0.9996174144287109,12.723885832133059
2025-07-21 10:40:00+05:30,2025-07-21 11:40:00+05:30,long,422.25,420.79998779296875,1184,-1716.814453125,-1816.170693678168,40,0.0,14.99832,29.64568421074219,0.9981711855468749,0.9981711855468749,12.715893971332031
