Date,Close,High,Low,Open,Volume
2020-10-08,20372.662109375,20485.108375542382,20131.408662583377,20358.56171066177,63457
2020-10-09,20827.51171875,20878.11043344753,20324.472069718227,20435.9857419157,90353
2020-10-12,20589.3515625,21023.468459954776,20480.246175262462,20794.596033765898,56254
2020-10-13,20718.9453125,21320.234886250473,20485.110478263705,20584.342907918603,115699
2020-10-14,20766.00390625,20946.881613693968,20289.983074081392,20718.941813770096,69326
2020-10-15,20280.99609375,20887.935033880753,20146.34379764969,20887.935033880753,55002
2020-10-16,20806.826171875,20951.353334184936,20288.607754932418,20416.332646367828,85124
2020-10-19,20732.943359375,21025.482490759277,20654.19566616409,20828.98265439704,48532
2020-10-20,20814.048828125,21172.85675129335,20730.82999848342,20826.034550216482,70614
2020-10-21,20777.404296875,21051.962963309074,20318.233625071192,20878.110476822025,57076
2020-10-22,20624.330078125,20917.410391012072,20535.905139882114,20828.985452769186,51638
2020-10-23,20162.015625,20900.020348137983,19902.537947120512,20794.597407076864,78234
2020-10-26,20067.25390625,20445.56605231335,19761.107489529397,20304.036251958503,65851
2020-10-27,21353.982421875,21713.233660319696,20067.30177391922,20188.886057424403,239232
2020-10-28,20987.361328125,21406.692757952093,20859.63643100118,21182.87867064531,80646
2020-10-29,21297.634765625,21418.43227245973,20735.695126125895,20926.250074874144,71428
2020-10-30,21314.87890625,21664.107481267347,21143.333009814753,21357.567729151455,86132
2020-11-02,21292.08203125,21515.306983842056,21135.6190455756,21314.877162318804,46682
2020-11-03,21493.25,21614.93214006296,21292.08329221933,21439.605928380563,49230
2020-11-04,21526.90234375,21690.686122261974,21345.042113953532,21493.25174399152,61879
2020-11-05,21850.193359375,21937.39016444093,21428.307813948937,21664.107624831457,82737
2020-11-06,21667.10546875,21987.252459899264,21575.68314758038,21767.27049793458,58031
2020-11-09,22209.1015625,22339.528346943847,21673.739219361763,21890.084801573514,67025
2020-11-10,22364.43359375,22823.456453159855,22233.956932200064,22233.956932200064,112826
2020-11-11,22467.349609375,22725.205748354187,22037.456330980734,22413.75351220078,82845
2020-11-12,23031.3515625,23210.559790250023,22479.580426723693,22715.380221409607,178595
2020-11-13,23025.361328125,23231.390654657152,22799.19076683248,23117.716258245702,73676
2020-11-14,22954.375,23186.98169133147,22873.02329665798,23088.731768910573,7626
2020-11-17,23569.912109375,23673.320158625687,22990.483158823037,23114.082335861283,87042
2020-11-18,23648.01953125,23712.323338111662,23340.251648238936,23569.91084266459,57487
2020-11-19,23247.552734375,23861.95822940024,23092.267967202784,23579.98095712133,67099
2020-11-20,23529.576171875,23590.736742782017,23216.749983707887,23410.302312522068,50600
2020-11-23,24037.140625,24168.450119832007,23567.21044744973,23579.982938207922,65833
2020-11-24,23819.271484375,24256.827160392873,23645.958225432078,24120.35762490959,66479
2020-11-25,23284.0546875,24263.75230868404,23134.96042186848,24149.832284828495,83059
2020-11-26,23954.4609375,24169.480505279556,23285.231218501038,23529.873521176425,74560
2020-11-27,23880.966796875,24099.770499472972,22942.336658349705,24045.387638720083,190961
2020-12-01,24472.486328125,25206.51118277037,24119.769073945015,25107.77000158628,95268
2020-12-02,24204.552734375,24605.412374198368,23776.478636582233,24365.97810691072,77649
2020-12-03,24469.291015625,24602.36976839095,24270.03940474252,24351.2433496711,57012
2020-12-04,24476.857421875,24891.619887186418,24385.928262581845,24514.340154142028,63298
2020-12-07,24517.43359375,24649.923231395078,24291.31101171876,24562.480799747977,39743
2020-12-08,24342.154296875,24847.35461259279,24302.608704493367,24513.3547806638,59029
2020-12-09,23993.318359375,24512.56920634476,23924.838930105238,24454.406019067777,67836
2020-12-10,23342.314453125,24071.181119385044,23272.85252549668,23993.31805580566,83757
2020-12-11,23388.39453125,23538.71691576087,23172.294589852598,23363.832050120775,54705
2020-12-14,23307.04296875,23566.914020686945,23238.07228889475,23393.30717058109,35173
2020-12-15,23835.091796875,23899.29774845561,23307.046346437302,23334.360597156043,75628
2020-12-16,23834.54296875,24060.32202416221,23723.127189659004,23962.169982607204,53857
2020-12-17,24081.447265625,24463.246047018467,23889.46655019294,23956.96347342356,75262
2020-12-18,24144.328125,24299.219503824304,23876.499233516337,24071.22980254557,106488
2020-12-21,23302.42578125,24120.356400534944,22842.272644868073,24120.356400534944,55774
2020-12-22,23498.138671875,23649.002196895148,22979.724485997172,23302.425591959396,47637
2020-12-23,23476.232421875,23815.783807218824,23413.84371429421,23498.14100561177,30687
2020-12-24,23409.76171875,23835.3795847068,23141.88294060966,23766.654536458496,47939
2020-12-28,23300.509765625,23688.00591653799,23158.53863064319,23579.980896632795,58822
2020-12-29,23422.44140625,23488.366729952995,23265.58499860027,23457.17237506678,30966
2020-12-30,24169.43359375,24269.305034302288,23334.359056889567,23454.51949236854,57743
2020-12-31,23592.947265625,24104.387953691323,23448.324161728113,23934.661229525624,85988
2021-01-01,23531.15234375,23851.64282864728,23447.344390899318,23629.106750518695,50972
2021-01-04,23613.58203125,23801.043650364754,23444.396432817495,23717.531216503827,39942
2021-01-05,23477.310546875,23775.49906567463,23286.26433758074,23775.49906567463,47363
2021-01-06,24389.90625,24510.803557115887,23432.60843550235,23662.51327298275,73142
2021-01-07,24564.591796875,24758.978872207947,24228.28156628337,24282.466778834103,73979
2021-01-08,25361.64453125,25524.83726006531,24523.17935338363,24523.17935338363,76285
2021-01-11,25121.8203125,25495.857031312422,24955.482412151658,25348.48213517767,58276
2021-01-12,24925.12109375,25436.905331820155,24779.613340047745,25101.873090871886,47467
2021-01-13,24293.671875,25151.982907944817,24137.55234730212,25137.245417959693,71497
2021-01-14,24420.607421875,24477.838001892378,24046.668599575973,24367.945847055496,34671
2021-01-15,23986.5390625,24409.89642072838,23789.104702441786,24287.379541508686,35232
2021-01-18,23429.560546875,23972.980470388375,23196.80610269957,23972.980470388375,41808
2021-01-19,23947.9296875,24046.523110523263,23372.676335347904,23384.46632719389,38386
2021-01-20,23560.279296875,24041.753764171794,23418.505823469204,24041.753764171794,48477
2021-01-21,23303.8984375,23874.534738299808,23188.94603153063,23653.66815138971,51819
2021-01-22,23279.634765625,23719.498950416775,23199.215659883608,23382.501678442914,52209
2021-01-25,22848.66015625,23629.108088902787,22755.470481733904,23629.108088902787,55464
2021-01-27,22420.828125,22990.04058814493,22347.140682867885,22862.757045524533,62620
2021-01-28,22701.921875,22784.008531224117,22273.89571770149,22346.944148925828,41756
2021-01-29,22374.798828125,22886.878586690047,22136.690519560325,22843.10747768752,58005
2021-02-01,24114.064453125,24258.34406172945,22314.46959833232,22695.729140497184,112280
2021-02-02,25969.962890625,26183.606597895912,23777.024431844377,24114.06966859838,188876
2021-02-03,25539.4765625,26113.84518796228,25280.735792360825,25937.977838225826,110699
2021-02-04,26616.88671875,26850.967160990676,25159.446972863352,25535.15506331669,135104
2021-02-05,26255.181640625,26809.409124745944,26148.286865686518,26638.012885486358,63260
2021-02-08,27531.791015625,27792.44884653392,26281.90607088203,26436.256326555562,183938
2021-02-09,27672.876953125,28098.592708475317,26881.27619007735,26881.27619007735,137375
2021-02-10,27798.58984375,28095.55026010603,27365.603165543955,27750.69300240225,86564
2021-02-11,27848.15625,28001.230410488257,27520.051372118553,27773.29056995376,54109
2021-02-12,27476.423828125,27976.66366065196,27313.47672576381,27706.476390882715,57620
2021-02-15,28151.798828125,28335.28057735597,27609.557066019875,27691.693625929653,61303
2021-02-16,28096.923828125,28580.902564419885,27928.620942662117,28151.796026262084,70319
2021-02-17,27773.779296875,28335.718960125,27657.403031439982,28069.413696986863,41156
2021-02-18,27139.91796875,28079.826180226406,26879.801314403783,28079.826180226406,63910
2021-02-19,27060.435546875,27369.922808867035,26285.145776892605,27166.05421565006,50262
2021-02-22,26616.740234375,27264.35501854113,26456.544878145916,27131.717615748224,28369
2021-02-23,26783.2734375,27050.219638993858,26301.50530700818,26689.592516431723,46471
2021-02-24,27070.802734375,27362.555128775173,26036.230989762913,26835.248531363843,17368
2021-02-25,26970.490234375,27391.982431202847,26761.611268407145,27070.803028432656,52154
2021-02-26,26037.8984375,27235.36923723199,25711.90635234767,26970.48783510931,76766
2021-03-01,27222.056640625,27345.410188194553,26134.971120491122,26134.971120491122,58805
2021-03-02,27174.701171875,27313.47919114656,26802.62947291703,27225.054258513355,39347
2021-03-03,27210.564453125,27666.73965767594,27068.59330054553,27269.76003750502,40649
2021-03-04,28174.7421875,28345.107968925284,26856.67125582623,26969.608795389915,83170
2021-03-05,27361.228515625,28389.16836667718,27255.462086468706,27805.22031512749,65557
2021-03-08,26709.294921875,27988.40930004269,26619.050820747932,27411.732069828704,57156
2021-03-09,26835.1484375,27490.32764594493,26676.670548789873,26964.690573372358,59204
2021-03-10,27073.5546875,27209.187563040698,26822.230601683943,27056.9500657197,29812
2021-03-12,27216.703125,27490.32916764435,27059.011994499397,27390.114243587894,43864
2021-03-15,27160.75,27362.603700294123,26532.489712685663,27324.777479738957,32587
2021-03-16,26950.744140625,27459.137665535505,26872.437790473556,27406.8195747538,38175
2021-03-17,26372.44140625,27067.85516421714,26243.440402151307,26951.03561603542,38409
2021-03-18,26130.05859375,26792.704440018973,25987.104954021826,26650.2919424515,38464
2021-03-19,26465.28515625,26643.65865172181,25643.228851785763,25992.01606413764,74153
2021-03-22,26482.77734375,26737.883670416773,26152.16632977564,26429.231131977034,45373
2021-03-23,27816.71484375,28001.228972769164,26479.337615617605,26479.337615617605,123156
2021-03-24,27316.71875,27893.789228554087,27234.77793900537,27678.965410609828,63069
2021-03-25,27097.671875,27647.47805262247,26787.791238407273,27411.72813326177,64357
2021-03-26,27624.14453125,27824.32875261121,27188.751525564723,27323.991011613925,74139
