symbol,time_ist,spot,pcr,pcr_score,doi_net,oi_bias_score,atm_ce_iv,atm_pe_iv,iv_skew,fut_near_price,fut_next_price,fut_near_oi,fut_near_chg_oi,basis,basis_pct_ann,roll_spread,fut_regime,fut_regime_score,dte,fut_price_change,sentiment_score,sentiment_label,error
BAJAJ-AUTO,2025-11-01 22:50:27,8900.0,0.7457748724489796,-0.5618707552786275,-879.0,-0.7615941559557649,22.76,27.58,4.819999999999997,,,,,,,,,0.0,,,-0.24627448080775521,Bearish,
BAJFINANCE,2025-11-01 22:50:27,1045.0,0.750222116922348,-0.5542151089161492,-485.0,-0.7615941559557649,26.65,27.35,0.7000000000000028,,,,,,,,,0.0,,,-0.3046741190781519,Bearish,
BAJAJFINSV,2025-11-01 22:50:27,2090.0,0.7360496014171833,-0.5782808832936005,-180.0,-0.7615941559557649,23.88,24.3,0.4200000000000017,,,,,,,,,0.0,,,-0.3174227973764418,Bearish,
BANDHANBNK,2025-11-01 22:50:27,156.55,0.5473425038805331,-0.8115810790621601,-7077.0,-0.7615941559557649,28.69,31.91,3.219999999999999,,,,,,,,,0.0,,,-0.3390314596994291,Bearish,
BANKINDIA,2025-11-01 22:50:27,140.0,0.6566763587564304,-0.695385453875914,-773.0,-0.7615941559557649,27.284000000000002,30.116000000000003,2.8320000000000007,,,,,,,,,0.0,,,-0.3096634155648852,Bearish,
BDL,2025-11-01 22:50:27,1535.0,0.6931780366056572,-0.6452136678328315,-512.0,-0.7615941559557649,35.49,35.15,-0.3400000000000034,,,,,,,,,0.0,,,-0.35267246982390177,Bearish,
BEL,2025-11-01 22:50:27,426.2,0.6683581510135042,-0.6799949380144104,-155.0,-0.7615941559557649,24.91,24.34,-0.5700000000000003,,,,,,,,,0.0,,,-0.3676681831740642,Bearish,
BHARATFORG,2025-11-01 22:50:27,1320.6,0.7081755402094008,-0.6227967919840753,-253.0,-0.7615941559557649,29.21,34.88,5.670000000000002,,,,,,,,,0.0,,,-0.26299845319079906,Bearish,
BPCL,2025-11-01 22:50:27,356.2,0.6482634856961892,-0.7060891695947245,-1318.0,-0.7615941559557649,25.07,28.28,3.210000000000001,,,,,,,,,0.0,,,-0.3075196029468846,Bearish,
BHARTIARTL,2025-11-01 22:50:27,2061.3,0.6206849594879825,-0.7390068297882397,-1286.0,-0.7615941559557649,19.48,20.76,1.2800000000000011,,,,,,,,,0.0,,,-0.34896583932780745,Bearish,
BIOCON,2025-11-01 22:50:27,372.8,0.6280068728522337,-0.7305858851266706,-59.0,-0.7615941559557649,27.3,27.07,-0.23000000000000043,,,,,,,,,0.0,,,-0.3760913549396438,Bearish,
BLUESTARCO,2025-11-01 22:50:27,1932.5,0.62784588441331,-0.730773479796989,-59.0,-0.7615941559557649,30.33,28.09,-2.2399999999999984,,,,,,,,,0.0,,,-0.41357623679119554,Bearish,
BRITANNIA,2025-11-01 22:50:27,5850.0,0.6448473282442748,-0.7103458755994544,-357.0,-0.7615941559557649,22.36,23.34,0.9800000000000004,,,,,,,,,0.0,,,-0.3460697807259,Bearish,
CGPOWER,2025-11-01 22:50:27,735.85,0.6629718875502008,-0.6871680540541241,-283.0,-0.7615941559557649,24.55,26.24,1.6899999999999977,,,,,,,,,0.0,,,-0.325900176419258,Bearish,
CDSL,2025-11-01 22:50:27,1591.0,0.6775463185178074,-0.6674521736224159,-1092.0,-0.7615941559557649,31.95,31.64,-0.3099999999999987,,,,,,,,,0.0,,,-0.3587465512073395,Bearish,
CHOLAFIN,2025-11-01 22:50:27,1701.0,0.6226280834914611,-0.736794094662892,-152.0,-0.7615941559557649,25.22,33.49,8.270000000000003,,,,,,,,,0.0,,,-0.2971976439944441,Bearish,
CIPLA,2025-11-01 22:50:27,1501.5,0.45529950942421893,-0.8767986156772025,-4320.0,-0.7615941559557649,21.13,23.39,2.2600000000000016,,,,,,,,,0.0,,,-0.3730042539459165,Bearish,
COALINDIA,2025-11-01 22:50:27,389.2,0.7987009612886464,-0.4646673861108669,-257.0,-0.7615941559557649,15.6,19.23,3.630000000000001,,,,,,,,,0.0,,,-0.22965783800319856,Bearish,
COFORGE,2025-11-01 22:50:27,1785.0,0.5172182656053623,-0.8357635578776111,-176.0,-0.7615941559557649,27.05,27.32,0.2699999999999996,,,,,,,,,0.0,,,-0.3976531412394534,Bearish,
COLPAL,2025-11-01 22:50:27,2250.0,0.7085793242055018,-0.6221784886294781,-239.0,-0.7615941559557649,11.97,27.38,15.409999999999998,,,,,,,,,0.0,,,-0.2628129621844199,Bearish,
CONCOR,2025-11-01 22:50:27,546.95,0.8230942425217112,-0.41551963460522173,-290.0,-0.7615941559557649,21.94,29.11,7.169999999999998,,,,,,,,,0.0,,,-0.20081530597714303,Bearish,
CROMPTON,2025-11-01 22:50:27,282.85,0.7101998621640249,-0.6196891828678648,-375.0,-0.7615941559557649,32.68,32.5,-0.17999999999999972,,,,,,,,,0.0,,,-0.3418240316573054,Bearish,
CYIENT,2025-11-01 22:50:27,1165.2,0.6029814420444174,-0.7584460205810767,-484.0,-0.7615941559557649,27.14,28.33,1.1899999999999977,,,,,,,,,0.0,,,-0.35649205952605423,Bearish,
